benchmark,ablation,accuracy_mean,accuracy_std,brier_mean,brier_std,convergence_step_mean,convergence_step_std,entropy_slope_mean,entropy_slope_std,correction_count_mean,correction_count_std,runs
liquid,full,0.9,0.0,0.42856179332675504,0.009309376903151229,3.0,0.0,-0.19490409770114397,0.0015893040010303006,4.0,0.0,2
liquid,ablate_recency_blend,0.9,0.0,0.42860255125748403,0.009268618973775483,3.0,0.0,-0.19489320690181178,0.001578413042044216,5.0,0.0,2
liquid,ablate_stale_feature_demotion,0.9,0.0,0.42856179332675504,0.009309376903151229,3.0,0.0,-0.19490409770114397,0.0015893040010303006,4.0,0.0,2
liquid,ablate_active_learning_cooldown,0.9,0.0,0.42856179332675504,0.009309376903151229,3.0,0.0,-0.19490409770114397,0.0015893040010303006,4.0,0.0,2
liquid,ablate_confirmation_memory_floor,0.9,0.0,0.42856179332675504,0.009309376903151229,3.0,0.0,-0.19457315525643373,0.001258361556320059,3.5,0.5,2
liquid,ablate_anchor_override,0.9,0.0,0.42856179332675504,0.009309376903151229,3.0,0.0,-0.19490409770114397,0.0015893040010303006,4.0,0.0,2
scifi_movies,full,0.8500000000000001,0.04999999999999999,0.3209139448964836,0.0005372184205787167,3.0,0.0,-0.13471364653650392,0.02439053974658764,4.5,0.5,2
scifi_movies,ablate_recency_blend,0.8500000000000001,0.04999999999999999,0.31159095254748903,0.003960747322585251,3.0,0.0,-0.12490457128382018,0.029451510323996927,3.5,0.5,2
scifi_movies,ablate_stale_feature_demotion,0.8500000000000001,0.04999999999999999,0.3209139448964836,0.0005372184205787167,3.0,0.0,-0.13471364653650392,0.02439053974658764,4.5,0.5,2
scifi_movies,ablate_active_learning_cooldown,0.8500000000000001,0.04999999999999999,0.3209139448964836,0.0005372184205787167,3.0,0.0,-0.13471364653650392,0.02439053974658764,4.5,0.5,2
scifi_movies,ablate_confirmation_memory_floor,0.8500000000000001,0.04999999999999999,0.3209139448964836,0.0005372184205787167,3.0,0.0,-0.13471364653650392,0.02439053974658764,4.5,0.5,2
scifi_movies,ablate_anchor_override,0.8500000000000001,0.04999999999999999,0.3209139448964836,0.0005372184205787167,3.0,0.0,-0.13471364653650392,0.02439053974658764,4.5,0.5,2
devices,full,0.9,0.0,0.41019766855743034,0.026622038012112104,3.0,0.0,0.0760435546882236,0.055699855241281675,7.0,0.0,2
devices,ablate_recency_blend,0.9,0.0,0.41710797235189634,0.019711734217646104,4.5,1.5,0.09811171711668829,0.07776801766974634,7.0,0.0,2
devices,ablate_stale_feature_demotion,0.9,0.0,0.41019766855743034,0.026622038012112104,3.0,0.0,0.0760435546882236,0.055699855241281675,7.0,0.0,2
devices,ablate_active_learning_cooldown,0.9,0.0,0.41019766855743034,0.026622038012112104,3.0,0.0,0.0760435546882236,0.055699855241281675,7.0,0.0,2
devices,ablate_confirmation_memory_floor,0.9,0.0,0.41019766855743034,0.026622038012112104,3.0,0.0,0.0760435546882236,0.055699855241281675,7.0,0.0,2
devices,ablate_anchor_override,0.9,0.0,0.41019766855743034,0.026622038012112104,3.0,0.0,0.0760435546882236,0.055699855241281675,7.0,0.0,2
noisy_food_adversarial,full,0.75,0.050000000000000044,0.28986056618530265,0.0020496794966115284,5.0,1.0,-0.2526065648340373,0.012157638880701122,2.5,0.5,2
noisy_food_adversarial,ablate_recency_blend,0.75,0.050000000000000044,0.28190352282864595,0.010004863133000058,5.0,1.0,-0.2560190067618236,0.015566034497830075,3.0,0.0,2
noisy_food_adversarial,ablate_stale_feature_demotion,0.75,0.050000000000000044,0.28986056618530265,0.0020496794966115284,5.0,1.0,-0.2526065648340373,0.012157638880701122,2.5,0.5,2
noisy_food_adversarial,ablate_active_learning_cooldown,0.75,0.050000000000000044,0.28986056618530265,0.0020496794966115284,5.0,1.0,-0.2526065648340373,0.012157638880701122,2.5,0.5,2
noisy_food_adversarial,ablate_confirmation_memory_floor,0.75,0.050000000000000044,0.2798729078853427,0.007937978803348456,5.0,1.0,-0.2713586953218804,0.006812121845254565,2.0,0.0,2
noisy_food_adversarial,ablate_anchor_override,0.75,0.050000000000000044,0.28986056618530265,0.0020496794966115284,5.0,1.0,-0.2526065648340373,0.012157638880701122,2.5,0.5,2
marine_animals_adversarial,full,0.9,0.0,0.3160592388403841,0.025003322474691808,3.0,0.0,-0.07919493711884779,0.010234191281772248,2.5,2.5,2
marine_animals_adversarial,ablate_recency_blend,0.9,0.0,0.3106919500215627,0.019681784063483226,3.0,0.0,-0.07329830768377982,0.004281344998894196,2.5,2.5,2
marine_animals_adversarial,ablate_stale_feature_demotion,0.9,0.0,0.3160592388403841,0.025003322474691808,3.0,0.0,-0.07919493711884779,0.010234191281772248,2.5,2.5,2
marine_animals_adversarial,ablate_active_learning_cooldown,0.9,0.0,0.3160592388403841,0.025003322474691808,3.0,0.0,-0.07919493711884779,0.010234191281772248,3.0,3.0,2
marine_animals_adversarial,ablate_confirmation_memory_floor,0.9,0.0,0.31861179791902183,0.02245076339605409,3.0,0.0,-0.07498082428311759,0.014448304117502447,3.5,1.5,2
marine_animals_adversarial,ablate_anchor_override,0.9,0.0,0.3160592388403841,0.025003322474691808,3.0,0.0,-0.07919493711884779,0.010234191281772248,2.5,2.5,2
